ncbi_gene_id,ensembl_gene_id,hgnc_symbol,gene_name,ucsc_id,alias
399821,ENSG00000224023,EDRF1-DT,EDRF1-DT,uc057wre.1,EDRF1-DT
399823,ENSG00000186766,FOXI2,FOXI2,uc009yas.4,FOXI2
399827,ENSG00000189275,LINC01164,LINC01164,uc021qba.1,LINC01164
399829,ENSG00000240707,LINC01168,LINC01168,uc001llv.3,LINC01168
399876,ENSG00000254622,NAV2-AS4,NAV2-AS4,uc057ztw.1,NAV2-AS4
399881,ENSG00000293312,HNRNPKP3,HNRNPKP3,uc286haf.1,HNRNPKP3
399886,ENSG00000255267,LINC02687,LINC02687,,LINC02687
399888,ENSG00000284938,FAM180B,FAM180B,,FAM180B
399909,ENSG00000197136,PCNX3,PCNX3,uc001oey.4,PCNXL3
399923,ENSG00000293435,,ACTE1P,,ACTE1P
399939,ENSG00000223417,TRIM49D1,TRIM49D1,uc009yvu.4,TRIM49D
399947,ENSG00000185742,C11orf87,C11orf87,uc010rwb.4,LOH11CR1A
399948,ENSG00000196167,COLCA1,COLCA1,uc001ple.5,C11orf92
399949,ENSG00000183644,HOATZ,HOATZ,uc001pln.6,C11orf88
399959,ENSG00000255248,MIR100HG,MIR100HG,uc288hpi.2,AGD1
399967,ENSG00000196844,PATE2,PATE2,uc001qcu.6,C11orf38
399968,ENSG00000237353,PATE4,PATE4,uc009zbt.1,PATE-B
399979,ENSG00000120451,SNX19,SNX19,uc001qgk.6,CHET8
400002,ENSG00000231560,CLEC12A-AS1,CLEC12A-AS1,uc058lbe.1,CLEC12A-AS1
400043,ENSG00000250742,LINC02381,LINC02381,uc287vck.3,HMS
400073,ENSG00000174456,C12orf76,C12orf76,uc058tbr.1,C12orf76
400084,ENSG00000249267,LINC00939,LINC00939,,LINC00939
400087,ENSG00000256597,LINC02393,LINC02393,uc287xpc.1,LINC02393
400120,ENSG00000180440,SERTM1,SERTM1,uc001uvt.6,C13orf36
400121,ENSG00000275226,LINC00547,LINC00547,uc001uwn.1,LINC00547
400123,ENSG00000215483,LINC00598,LINC00598,uc058woq.1,LINC00548
400165,ENSG00000197595,ATP11AUN,ATP11AUN,uc058yjk.1,C13orf35
400208,ENSG00000259091,LINC00517,LINC00517,uc001wuk.3,C14orf26
400224,ENSG00000175985,PLEKHD1,PLEKHD1,uc001xli.3,UPF0639
400236,ENSG00000258920,FOXN3-AS1,FOXN3-AS1,uc001xxq.3,FOXN3-AS1
400238,ENSG00000233208,LINC00642,LINC00642,uc021ryj.2,LINC00642
400242,ENSG00000235706,DICER1-AS1,DICER1-AS1,uc315vct.2,DICER1-AS
400258,ENSG00000274126,C14orf180,C14orf180,,C14orf77
400359,ENSG00000175779,LINC02694,LINC02694,uc285mkt.1,C15orf53
400360,ENSG00000175746,LINC02915,LINC02915,uc315nbq.1,C15orf54
400451,ENSG00000185442,FAM174B,FAM174B,uc059nlj.1,FAM174B
400456,ENSG00000248441,LETR1,LETR1,uc316bgk.1,LINC01197
400499,ENSG00000188897,,,uc059qvb.1,LOC400499
400500,ENSG00000262117,BCAR4,BCAR4,uc059qwy.1,BCAR4
400506,ENSG00000103550,KNOP1,KNOP1,uc002dgq.5,101F10.1
400511,ENSG00000224310,LINC01567,LINC01567,uc002dml.2,LOCCS
400512,ENSG00000245888,NSMCE1-DT,NSMCE1-DT,uc002dok.3,NSMCE1-DT
400533,ENSG00000261122,LINC02167,LINC02167,uc059tsu.1,LINC02167
400548,ENSG00000278214,LINC02139,LINC02139,uc021tmb.1,LINC02139
400550,ENSG00000268388,FENDRR,FENDRR,uc021tmg.2,FOXF1-AS1
400558,ENSG00000205015,LINC02138,LINC02138,uc031qxk.2,LINC02138
400566,ENSG00000283985,LIAT1,LIAT1,,C17orf97
400569,ENSG00000161920,MED11,MED11,uc059zvr.1,HSPC296
400579,ENSG00000284456,LINC02076,LINC02076,,LINC02076
400581,ENSG00000154016,GRAP,GRAP,uc002guy.5,GRAPLDR
400591,ENSG00000197322,TMEM132E-DT,TMEM132E-DT,uc002hie.2,C17orf102
400604,ENSG00000229980,TOB1-AS1,TOB1-AS1,uc002isy.6,TOB1-AS1
400612,ENSG00000264954,PRR29-AS1,PRR29-AS1,uc287qir.1,PRR29-AS1
400617,ENSG00000267365,KCNJ2-AS1,KCNJ2-AS1,uc021uci.2,KCNJ2-AS1
400618,ENSG00000234899,SOX9-AS1,SOX9-AS1,uc287xgc.1,SOX9-AS1
400619,ENSG00000227036,LINC00511,LINC00511,,LCAL5
400620,ENSG00000234721,LINC02092,LINC02092,uc060jmy.1,LINC02092
400624,ENSG00000204283,LINC01973,LINC01973,uc288avu.1,LINC01973
400627,ENSG00000261924,,,uc002jyv.3,LOC400627
400629,ENSG00000182459,TEX19,TEX19,uc002keq.4,TEX19
400643,ENSG00000265933,LINC00668,LINC00668,uc002kng.1,LINC00668
400644,ENSG00000266554,LINC01443,LINC01443,uc032gze.2,LINC01443
400654,ENSG00000266952,LINC01538,LINC01538,uc285pes.1,LINC01538
400655,ENSG00000263711,LINC02864,LINC02864,uc002lla.3,LINC02864
400658,ENSG00000275763,ZNF516-DT,ZNF516-DT,uc060qfa.1,C18orf65
400660,ENSG00000266256,LINC00683,LINC00683,uc002lmg.5,LINC00683
400661,ENSG00000266256,LINC00683,LINC00683,uc002lmg.5,LINC01879
400668,ENSG00000185198,PRSS57,PRSS57,uc002lpl.2,NSP4
400673,ENSG00000292061,VMAC,VMAC,,VMAC
400680,ENSG00000268658,LINC00664,LINC00664,uc002nqa.4,LINC00664
400685,ENSG00000267767,LINC01801,LINC01801,uc060wxf.2,LINC01801
400696,ENSG00000291086,,LGALS17A,,LGALS17A
400709,ENSG00000161643,SIGLEC16,SIGLEC16,uc286pou.2,SIGLECP16
400710,ENSG00000204666,ZNF473CR,ZNF473CR,uc002pro.4,ZNF473CR
400713,ENSG00000221923,ZNF880,ZNF880,uc061cdc.1,ZNF880
