Sample_ID,Pseudotime,State,Cluster,Tissue_Type
TCGA-38-7271-01A,63.37291193826,5,3.0,Tumor
TCGA-55-A48X-01A,63.5206410133209,5,2.0,Tumor
TCGA-97-A4M0-01A,63.7271029899276,5,2.0,Tumor
TCGA-78-7162-01A,63.761706752351,4,3.0,Tumor
TCGA-75-6206-01A,63.9374755976181,4,2.0,Tumor
TCGA-67-6217-01A,63.9504507692057,4,2.0,Tumor
TCGA-44-7659-01A,64.0113088497431,5,4.0,Tumor
TCGA-97-A4M7-01A,64.1182701560769,5,3.0,Tumor
TCGA-55-8621-01A,64.1719799507173,4,3.0,Tumor
TCGA-69-8254-01A,64.2018336263684,4,2.0,Tumor
TCGA-67-4679-01B,64.4213528797463,4,4.0,Tumor
TCGA-55-8512-01A,64.5524010574744,4,4.0,Tumor
TCGA-44-2668-11A,64.5724750674906,4,3.0,Normal
TCGA-49-6745-11A,64.6454967143861,5,3.0,Normal
TCGA-55-8097-01A,64.8787693816296,5,2.0,Tumor
TCGA-S2-AA1A-01A,64.8936510648972,5,2.0,Tumor
TCGA-86-8671-01A,64.9488677241812,5,3.0,Tumor
TCGA-73-4676-11A,65.2472870131841,5,3.0,Normal
TCGA-97-7941-01A,65.3136007962789,5,3.0,Tumor
TCGA-97-A4M2-01A,65.4789682953175,5,5.0,Tumor
TCGA-55-8619-01A,65.6002351307319,5,5.0,Tumor
TCGA-91-8497-01A,65.6150574141042,5,3.0,Tumor
TCGA-97-A4M1-01A,65.8522603254199,5,3.0,Tumor
TCGA-99-AA5R-01A,65.855800344284,5,3.0,Tumor
TCGA-97-8552-01A,66.0460396755602,5,5.0,Tumor
TCGA-MP-A4TJ-01A,66.548250453165,4,2.0,Tumor
TCGA-49-AARR-01A,66.5503685470675,4,4.0,Tumor
TCGA-55-8091-01A,67.0028682829481,4,3.0,Tumor
TCGA-55-7227-01A,67.3309423120626,4,3.0,Tumor
TCGA-44-2665-11A,67.335238569992,4,3.0,Normal
TCGA-78-7156-01A,67.6164416900113,4,2.0,Tumor
TCGA-44-6777-01A,67.7174681798742,4,2.0,Tumor
TCGA-05-4433-01A,67.7649311582615,4,4.0,Tumor
TCGA-J2-A4AG-01A,67.9134649150716,4,2.0,Tumor
TCGA-55-7574-01A,68.5760647715436,4,2.0,Tumor
